participant_id,trial_number,group,task_type,input,response,true_output,rt,is_correct,submission_attempts,total_submissions,group_label,rt_seconds
sub_8c695f8dca6e,2,1,operator,VII = III - IV,VII=III,['VII-III=IV'],240114,False,"[{'answer': 'VI=III+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758828485577'}, 'time_from_start': 67587}, {'answer': 'VII=III+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758828555518'}, 'time_from_start': 137528}, {'answer': 'VII=II+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758828580753'}, 'time_from_start': 162763}, {'answer': 'VI=III+IIV', 'is_correct': False, 'timestamp': {'$numberLong': '1758828609940'}, 'time_from_start': 191950}]",4,Same Type (Group 1),240.114
sub_8c695f8dca6e,3,1,operator,XIII = IX - IV,XIII-IX=IV,['XIII-IX=IV'],198892,True,"[{'answer': 'XII-IX=IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758828819352'}, 'time_from_start': 158749}, {'answer': '-', 'is_correct': False, 'timestamp': {'$numberLong': '1758828829448'}, 'time_from_start': 168845}, {'answer': 'XIII-IX=IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758828856481'}, 'time_from_start': 195878}]",3,Same Type (Group 1),198.892
sub_8c695f8dca6e,4,1,operator,XIII = VII - VI,XIII=V,['XIII-VII=VI'],240110,False,"[{'answer': 'XIII=VII+VI', 'is_correct': False, 'timestamp': {'$numberLong': '1758828928134'}, 'time_from_start': 61243}]",1,Same Type (Group 1),240.11
sub_8c695f8dca6e,5,1,operator,X = VII - III,X=V,['X-VII=III'],240111,False,[],0,Same Type (Group 1),240.111
sub_3a291c7f542d,1,1,hybrid,VI = VI + I,V=VII-II,['VI=VII-I'],240123,False,"[{'answer': 'VI+I=VII', 'is_correct': False, 'timestamp': {'$numberLong': '1758828950406'}, 'time_from_start': 42186}, {'answer': 'VI=VI-I', 'is_correct': False, 'timestamp': {'$numberLong': '1758829020820'}, 'time_from_start': 112600}, {'answer': 'VI=IV+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758829048978'}, 'time_from_start': 140758}, {'answer': 'VI=IV+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758829072865'}, 'time_from_start': 164645}, {'answer': 'V=IV+I', 'is_correct': False, 'timestamp': {'$numberLong': '1758829129880'}, 'time_from_start': 221660}]",5,Same Type (Group 1),240.123
sub_3a291c7f542d,2,1,hybrid,III = XI + IX,III=XII-IX,['III=XII-IX'],136381,True,"[{'answer': 'III=XI-IX', 'is_correct': False, 'timestamp': {'$numberLong': '1758829245478'}, 'time_from_start': 83166}, {'answer': 'III=XII-IX', 'is_correct': True, 'timestamp': {'$numberLong': '1758829295660'}, 'time_from_start': 133348}]",2,Same Type (Group 1),136.381
sub_3a291c7f542d,3,1,hybrid,IV = VII + IV,VII=,['IV=VIII-IV'],240134,False,[],0,Same Type (Group 1),240.134
sub_3a291c7f542d,4,1,hybrid,VII = XII + VI,VII=XIII-VI,['VII=XIII-VI'],124201,True,"[{'answer': 'VIII=XII-IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758829616462'}, 'time_from_start': 71409}, {'answer': 'VII=XIII-VI', 'is_correct': True, 'timestamp': {'$numberLong': '1758829666235'}, 'time_from_start': 121182}]",2,Same Type (Group 1),124.201
sub_3a291c7f542d,5,1,hybrid,IX = XII + IV,IX=XIII-IV,['IX=XIII-IV'],130861,True,"[{'answer': 'IX=XIII-IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758829798737'}, 'time_from_start': 127823}]",1,Same Type (Group 1),130.861
sub_057b1c4a47b6,1,1,value-loose-chunk,II = XI - VII,II=IX-VII,"['III=X-VII', 'II=IX-VII', 'II=X-VIII']",37860,True,"[{'answer': 'II=IX-VII', 'is_correct': True, 'timestamp': {'$numberLong': '1758829174749'}, 'time_from_start': 34852}]",1,Same Type (Group 1),37.86
sub_057b1c4a47b6,2,1,value-loose-chunk,IX = VII + IV,XI=VII+IV,['XI=VII+IV'],51804,True,"[{'answer': 'XI=VII+IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758829235572'}, 'time_from_start': 48781}]",1,Same Type (Group 1),51.804
sub_057b1c4a47b6,3,1,value-loose-chunk,VIII = II + IV,VIII=II+VI,"['VIII=II+VI', 'VIII=III+V', 'VII=III+IV']",138217,True,"[{'answer': 'VII=II+VI', 'is_correct': False, 'timestamp': {'$numberLong': '1758829285362'}, 'time_from_start': 40644}, {'answer': 'VII=II+VI', 'is_correct': False, 'timestamp': {'$numberLong': '1758829301204'}, 'time_from_start': 56486}, {'answer': 'VIII+II+VI', 'is_correct': False, 'timestamp': {'$numberLong': '1758829333200'}, 'time_from_start': 88482}, {'answer': 'VIII=II+VI', 'is_correct': True, 'timestamp': {'$numberLong': '1758829379902'}, 'time_from_start': 135184}]",4,Same Type (Group 1),138.217
sub_057b1c4a47b6,4,1,value-loose-chunk,IV = IV - II,IV=VI-II,['IV=VI-II'],32378,True,"[{'answer': 'IV=VI-II', 'is_correct': True, 'timestamp': {'$numberLong': '1758829418339'}, 'time_from_start': 29339}]",1,Same Type (Group 1),32.378
sub_057b1c4a47b6,5,1,value-loose-chunk,III = IX - IV,III=IX-VI,['III=IX-VI'],34600,True,"[{'answer': 'III=IX-VI', 'is_correct': True, 'timestamp': {'$numberLong': '1758829455711'}, 'time_from_start': 31564}]",1,Same Type (Group 1),34.6
sub_df5377cdddde,1,1,tautological,III = III + III,,['III=III=III'],240105,False,[],0,Same Type (Group 1),240.105
sub_df5377cdddde,2,1,tautological,XII = XII + XII,XXI=XII+,['XII=XII=XII'],240109,False,[],0,Same Type (Group 1),240.109
sub_df5377cdddde,3,1,tautological,VIII = VIII + VIII,,['VIII=VIII=VIII'],241957,False,[],0,Same Type (Group 1),241.957
sub_df5377cdddde,4,1,tautological,IX = IX + IX,,['IX=IX=IX'],240112,False,[],0,Same Type (Group 1),240.112
sub_df5377cdddde,5,1,tautological,IV = IV + IV,,['IV=IV=IV'],240105,False,[],0,Same Type (Group 1),240.105
sub_3b1144cd2068,1,1,value-loose-chunk,IX = VII + IV,IX,['XI=VII+IV'],240131,False,"[{'answer': 'IX=VII+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758833595355'}, 'time_from_start': 74912}, {'answer': 'IX=VII+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758833659338'}, 'time_from_start': 138895}, {'answer': 'IX=VII+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758833743138'}, 'time_from_start': 222695}]",3,Same Type (Group 1),240.131
sub_3b1144cd2068,2,1,value-loose-chunk,IV = IV - II,,['IV=VI-II'],240145,False,"[{'answer': 'II=IV-II', 'is_correct': False, 'timestamp': {'$numberLong': '1758833867474'}, 'time_from_start': 100783}]",1,Same Type (Group 1),240.145
sub_3b1144cd2068,3,1,value-loose-chunk,II = XI - VII,II=,"['III=X-VII', 'II=IX-VII', 'II=X-VIII']",240142,False,"[{'answer': 'III=XI-VII', 'is_correct': False, 'timestamp': {'$numberLong': '1758834088547'}, 'time_from_start': 77136}, {'answer': 'IV=XI-VII', 'is_correct': False, 'timestamp': {'$numberLong': '1758834134722'}, 'time_from_start': 123311}]",2,Same Type (Group 1),240.142
sub_3b1144cd2068,4,1,value-loose-chunk,III = IX - IV,,['III=IX-VI'],240146,False,"[{'answer': 'V=IX-IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758834325307'}, 'time_from_start': 69431}, {'answer': 'III=XI-IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758834400571'}, 'time_from_start': 144695}, {'answer': 'V=IX-IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758834451691'}, 'time_from_start': 195815}]",3,Same Type (Group 1),240.146
sub_3b1144cd2068,5,1,value-loose-chunk,VIII = II + IV,VII=,"['VIII=II+VI', 'VIII=III+V', 'VII=III+IV']",240129,False,"[{'answer': 'VIII=IV+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758834544475'}, 'time_from_start': 46648}, {'answer': 'VI=II+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758834584987'}, 'time_from_start': 87160}, {'answer': 'VIII=IV+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758834625347'}, 'time_from_start': 127520}]",3,Same Type (Group 1),240.129
sub_14ef9451a39d,1,1,value-tight-chunk,II = IX - II,,['II=IV-II'],240140,False,"[{'answer': 'IX-II=II', 'is_correct': False, 'timestamp': {'$numberLong': '1758834317060'}, 'time_from_start': 209339}, {'answer': 'IX+II=II', 'is_correct': False, 'timestamp': {'$numberLong': '1758834345908'}, 'time_from_start': 238187}]",2,Same Type (Group 1),240.14
sub_14ef9451a39d,2,1,value-tight-chunk,XI = IV + II,,"['VI=IV+II', 'XI=IX+II']",240134,False,[],0,Same Type (Group 1),240.134
sub_14ef9451a39d,3,1,value-tight-chunk,IV = XI - II,,"['IX=XI-II', 'IV=VI-II']",240134,False,[],0,Same Type (Group 1),240.134
sub_14ef9451a39d,4,1,value-tight-chunk,III = XI - III,,['III=VI-III'],240149,False,"[{'answer': 'III=V-III', 'is_correct': False, 'timestamp': {'$numberLong': '1758834947220'}, 'time_from_start': 108734}]",1,Same Type (Group 1),240.149
sub_14ef9451a39d,5,1,value-tight-chunk,VII = IX + III,XIII,"['XII=IX+III', 'VII=IV+III']",240134,False,"[{'answer': 'VII=IX-II', 'is_correct': False, 'timestamp': {'$numberLong': '1758835255971'}, 'time_from_start': 175755}]",1,Same Type (Group 1),240.134
sub_187c1aa52c3d,1,1,value-tight-chunk,XI = IV + II,XI=VI+,"['VI=IV+II', 'XI=IX+II']",240119,False,[],0,Same Type (Group 1),240.119
sub_187c1aa52c3d,2,1,value-tight-chunk,VII = IX + III,VII=IX-IIII,"['XII=IX+III', 'VII=IV+III']",240121,False,[],0,Same Type (Group 1),240.121
sub_187c1aa52c3d,3,1,value-tight-chunk,II = IX - II,,['II=IV-II'],240118,False,"[{'answer': 'III=IX-I', 'is_correct': False, 'timestamp': {'$numberLong': '1758836473185'}, 'time_from_start': 208676}, {'answer': 'III=X-II', 'is_correct': False, 'timestamp': {'$numberLong': '1758836499963'}, 'time_from_start': 235454}]",2,Same Type (Group 1),240.118
sub_187c1aa52c3d,4,1,value-tight-chunk,III = XI - III,,['III=VI-III'],240126,False,[],0,Same Type (Group 1),240.126
sub_187c1aa52c3d,5,1,value-tight-chunk,IV = XI - II,,"['IX=XI-II', 'IV=VI-II']",240117,False,"[{'answer': 'V=XI-III', 'is_correct': False, 'timestamp': {'$numberLong': '1758836903323'}, 'time_from_start': 93222}, {'answer': 'IV=XI-V', 'is_correct': False, 'timestamp': {'$numberLong': '1758836985978'}, 'time_from_start': 175877}]",2,Same Type (Group 1),240.117
sub_b756988f57dd,1,1,hybrid,VII = XII + VI,,['VII=XIII-VI'],240120,False,[],0,Same Type (Group 1),240.12
sub_b756988f57dd,2,1,hybrid,III = XI + IX,III=XII-IX,['III=XII-IX'],106565,True,"[{'answer': 'III=XII-IX', 'is_correct': True, 'timestamp': {'$numberLong': '1758837015380'}, 'time_from_start': 103549}]",1,Same Type (Group 1),106.565
sub_b756988f57dd,3,1,hybrid,IV = VII + IV,IV=VIII-IV,['IV=VIII-IV'],238941,True,"[{'answer': 'IV=VIII-IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758837262219'}, 'time_from_start': 235910}]",1,Same Type (Group 1),238.941
sub_b756988f57dd,4,1,hybrid,VI = VI + I,VI=VII-I,['VI=VII-I'],126374,True,"[{'answer': 'VI=VII-I', 'is_correct': True, 'timestamp': {'$numberLong': '1758837394039'}, 'time_from_start': 123347}]",1,Same Type (Group 1),126.374
sub_b756988f57dd,5,1,hybrid,IX = XII + IV,IX=XIII-IV,['IX=XIII-IV'],88429,True,"[{'answer': 'IX=XIII-IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758837487675'}, 'time_from_start': 85406}]",1,Same Type (Group 1),88.429
sub_af23f97f6c59,1,1,value-loose-chunk,II = XI - VII,III=X-VII,"['III=X-VII', 'II=IX-VII', 'II=X-VIII']",160812,True,"[{'answer': 'III=X-VII', 'is_correct': True, 'timestamp': {'$numberLong': '1758836859869'}, 'time_from_start': 157778}]",1,Same Type (Group 1),160.812
sub_af23f97f6c59,2,1,value-loose-chunk,IX = VII + IV,XI=VI+IV,['XI=VII+IV'],240103,False,[],0,Same Type (Group 1),240.103
sub_af23f97f6c59,3,1,value-loose-chunk,VIII = II + IV,VIII=III+V,"['VIII=II+VI', 'VIII=III+V', 'VII=III+IV']",172352,True,"[{'answer': 'VIII=III+V', 'is_correct': True, 'timestamp': {'$numberLong': '1758837297495'}, 'time_from_start': 169330}]",1,Same Type (Group 1),172.352
sub_af23f97f6c59,4,1,value-loose-chunk,III = IX - IV,,['III=IX-VI'],240123,False,"[{'answer': 'II=IX-VII', 'is_correct': False, 'timestamp': {'$numberLong': '1758837410257'}, 'time_from_start': 102136}, {'answer': 'II=IX-VII', 'is_correct': False, 'timestamp': {'$numberLong': '1758837447986'}, 'time_from_start': 139865}, {'answer': 'II=IX-VII', 'is_correct': False, 'timestamp': {'$numberLong': '1758837487056'}, 'time_from_start': 178935}, {'answer': 'II=I-VII', 'is_correct': False, 'timestamp': {'$numberLong': '1758837535009'}, 'time_from_start': 226888}]",4,Same Type (Group 1),240.123
sub_af23f97f6c59,5,1,value-loose-chunk,IV = IV - II,,['IV=VI-II'],240127,False,"[{'answer': 'IV=V-I', 'is_correct': False, 'timestamp': {'$numberLong': '1758837634939'}, 'time_from_start': 71906}, {'answer': 'V=IV+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758837682664'}, 'time_from_start': 119631}, {'answer': 'IV=IV+I', 'is_correct': False, 'timestamp': {'$numberLong': '1758837713807'}, 'time_from_start': 150774}, {'answer': 'IV=VI-I', 'is_correct': False, 'timestamp': {'$numberLong': '1758837787469'}, 'time_from_start': 224436}]",4,Same Type (Group 1),240.127
sub_dcdeec2e1791,1,1,operator,VI = IV - II,VI-IV=II,['VI-IV=II'],146481,True,"[{'answer': 'VI-IV=II', 'is_correct': True, 'timestamp': {'$numberLong': '1758837770911'}, 'time_from_start': 143440}]",1,Same Type (Group 1),146.481
sub_dcdeec2e1791,2,1,operator,X = VII - III,X-VII=III,['X-VII=III'],64892,True,"[{'answer': 'X-VII=III', 'is_correct': True, 'timestamp': {'$numberLong': '1758837837509'}, 'time_from_start': 61871}]",1,Same Type (Group 1),64.892
sub_dcdeec2e1791,3,1,operator,XIII = IX - IV,XIII-IX=IV,['XIII-IX=IV'],53925,True,"[{'answer': 'XIII-IX=IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758837892518'}, 'time_from_start': 50896}]",1,Same Type (Group 1),53.925
sub_dcdeec2e1791,4,1,operator,XIII = VII - VI,XIII-VII=VI,['XIII-VII=VI'],23546,True,"[{'answer': 'XIII-VII=VI', 'is_correct': True, 'timestamp': {'$numberLong': '1758837917373'}, 'time_from_start': 20519}]",1,Same Type (Group 1),23.546
sub_dcdeec2e1791,5,1,operator,VII = III - IV,VII-III=IV,['VII-III=IV'],16276,True,"[{'answer': 'VII-III=IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758837934518'}, 'time_from_start': 13241}]",1,Same Type (Group 1),16.276
sub_f5967a6d7c24,1,1,operator,VI = IV - II,VI-IV=II,['VI-IV=II'],195580,True,"[{'answer': 'VI-IV=II', 'is_correct': True, 'timestamp': {'$numberLong': '1758838010763'}, 'time_from_start': 192543}]",1,Same Type (Group 1),195.58
sub_f5967a6d7c24,2,1,operator,X = VII - III,X-VII=III,['X-VII=III'],46071,True,"[{'answer': 'X-VII=III', 'is_correct': True, 'timestamp': {'$numberLong': '1758838068754'}, 'time_from_start': 43048}]",1,Same Type (Group 1),46.071
sub_f5967a6d7c24,3,1,operator,VII = III - IV,VII-III=IV,['VII-III=IV'],34946,True,"[{'answer': 'VII-III=IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758838105452'}, 'time_from_start': 31925}]",1,Same Type (Group 1),34.946
sub_f5967a6d7c24,4,1,operator,XIII = IX - IV,,['XIII-IX=IV'],240133,False,[],0,Same Type (Group 1),240.133
sub_f5967a6d7c24,5,1,operator,XIII = VII - VI,XIII-VII=VI,['XIII-VII=VI'],52484,True,"[{'answer': 'XIII-VII=VI', 'is_correct': True, 'timestamp': {'$numberLong': '1758838406047'}, 'time_from_start': 49465}]",1,Same Type (Group 1),52.484
sub_93d81c85849e,1,1,hybrid,IX = XII + IV,,['IX=XIII-IV'],240171,False,[],0,Same Type (Group 1),240.171
sub_93d81c85849e,2,1,hybrid,III = XI + IX,III=XII-IX,['III=XII-IX'],104217,True,"[{'answer': 'III=XII-IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758839190893'}, 'time_from_start': 81782}, {'answer': 'III=XII-IX', 'is_correct': True, 'timestamp': {'$numberLong': '1758839210304'}, 'time_from_start': 101193}]",2,Same Type (Group 1),104.217
sub_93d81c85849e,3,1,hybrid,VI = VI + I,VI=VII-I,['VI=VII-I'],190205,True,"[{'answer': 'VI=VII-I', 'is_correct': True, 'timestamp': {'$numberLong': '1758839402392'}, 'time_from_start': 187128}]",1,Same Type (Group 1),190.205
sub_93d81c85849e,4,1,hybrid,VII = XII + VI,VII=XIII-VI,['VII=XIII-VI'],162100,True,"[{'answer': 'VII=XII-VI', 'is_correct': False, 'timestamp': {'$numberLong': '1758839544611'}, 'time_from_start': 102271}, {'answer': 'VII=XII-VI', 'is_correct': False, 'timestamp': {'$numberLong': '1758839563003'}, 'time_from_start': 120663}, {'answer': 'VII=XIII-VI', 'is_correct': True, 'timestamp': {'$numberLong': '1758839601385'}, 'time_from_start': 159045}]",3,Same Type (Group 1),162.1
sub_93d81c85849e,5,1,hybrid,IV = VII + IV,IV=VIII-IV,['IV=VIII-IV'],42664,True,"[{'answer': 'IV=VIII-IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758839645172'}, 'time_from_start': 39635}]",1,Same Type (Group 1),42.664
sub_a3e279103ed5,1,1,operator,X = VII - III,X-VII=III,['X-VII=III'],156457,True,"[{'answer': 'X-VII=III', 'is_correct': True, 'timestamp': {'$numberLong': '1758839181178'}, 'time_from_start': 153417}]",1,Same Type (Group 1),156.457
sub_a3e279103ed5,2,1,operator,XIII = VII - VI,XIII-VII=VI,['XIII-VII=VI'],115554,True,"[{'answer': 'XIII-VII=VI', 'is_correct': True, 'timestamp': {'$numberLong': '1758839306084'}, 'time_from_start': 112523}]",1,Same Type (Group 1),115.554
sub_a3e279103ed5,3,1,operator,XIII = IX - IV,XIII-IX=IV,['XIII-IX=IV'],40662,True,"[{'answer': 'XIII-IX=IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758839348277'}, 'time_from_start': 37640}]",1,Same Type (Group 1),40.662
sub_a3e279103ed5,4,1,operator,VII = III - IV,VII-III=IV,['VII-III=IV'],23074,True,"[{'answer': 'VII-III=IV', 'is_correct': True, 'timestamp': {'$numberLong': '1758839372440'}, 'time_from_start': 20050}]",1,Same Type (Group 1),23.074
sub_a3e279103ed5,5,1,operator,VI = IV - II,VI-IV=II,['VI-IV=II'],22576,True,"[{'answer': 'VI-IV=II', 'is_correct': True, 'timestamp': {'$numberLong': '1758839397685'}, 'time_from_start': 19557}]",1,Same Type (Group 1),22.576
sub_0e1dca66af8d,1,1,tautological,III = III + III,,['III=III=III'],240109,False,[],0,Same Type (Group 1),240.109
sub_0e1dca66af8d,2,1,tautological,IV = IV + IV,,['IV=IV=IV'],240112,False,"[{'answer': 'V=IV-I', 'is_correct': False, 'timestamp': {'$numberLong': '1758839692612'}, 'time_from_start': 114173}, {'answer': 'VI=IV+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758839714047'}, 'time_from_start': 135608}, {'answer': 'IV=V-IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758839742785'}, 'time_from_start': 164346}, {'answer': 'VI=IV+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758839783591'}, 'time_from_start': 205152}, {'answer': 'IV=IV-', 'is_correct': False, 'timestamp': {'$numberLong': '1758839814512'}, 'time_from_start': 236073}]",5,Same Type (Group 1),240.112
sub_0e1dca66af8d,3,1,tautological,IX = IX + IX,,['IX=IX=IX'],240108,False,"[{'answer': 'X=IX+I', 'is_correct': False, 'timestamp': {'$numberLong': '1758839862769'}, 'time_from_start': 37522}, {'answer': 'IX=IV+V', 'is_correct': False, 'timestamp': {'$numberLong': '1758839901441'}, 'time_from_start': 76194}, {'answer': 'II', 'is_correct': False, 'timestamp': {'$numberLong': '1758839908241'}, 'time_from_start': 82994}, {'answer': 'X=V+V', 'is_correct': False, 'timestamp': {'$numberLong': '1758839917242'}, 'time_from_start': 91995}, {'answer': 'X=V+V', 'is_correct': False, 'timestamp': {'$numberLong': '1758839934177'}, 'time_from_start': 108930}, {'answer': 'XII=IX+III', 'is_correct': False, 'timestamp': {'$numberLong': '1758839956181'}, 'time_from_start': 130934}, {'answer': 'X=VI+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758839990334'}, 'time_from_start': 165087}, {'answer': 'X=IX+I', 'is_correct': False, 'timestamp': {'$numberLong': '1758840009504'}, 'time_from_start': 184257}, {'answer': 'XI=IX+II', 'is_correct': False, 'timestamp': {'$numberLong': '1758840025638'}, 'time_from_start': 200391}, {'answer': 'IX=V+IV', 'is_correct': False, 'timestamp': {'$numberLong': '1758840042591'}, 'time_from_start': 217344}, {'answer': 'X=V+V', 'is_correct': False, 'timestamp': {'$numberLong': '1758840052392'}, 'time_from_start': 227145}, {'answer': 'XI=VI+V', 'is_correct': False, 'timestamp': {'$numberLong': '1758840064660'}, 'time_from_start': 239413}]",12,Same Type (Group 1),240.108
